Average MSE,Number of Layers,Number of Nodes,Dropout Rate,Time Step
10.291948603095868,7,75,0.3,20
8.81072896321515,7,100,0.1,20
8.467826520433857,7,100,0.2,20
11.512381559535578,7,100,0.3,20
9.789489979811439,7,50,0.1,30
9.018295524137498,7,50,0.2,30
10.149397017587516,7,50,0.3,30
2.656970867799687,7,75,0.1,30
16.691428836982645,7,75,0.2,30
11.203937279197813,7,75,0.3,30
8.994354566097913,7,100,0.1,30
8.062522318101431,7,100,0.2,30
3.9317307903812244,7,100,0.3,30
8.329507426031084,7,50,0.1,40
9.776398312704808,7,50,0.2,40
11.85877301727881,7,50,0.3,40
2.8000951965397114,7,75,0.1,40
9.388981178120364,7,75,0.2,40
4.8926517383471095,7,75,0.3,40
2.012024326858448,7,100,0.1,40
8.833563709978822,7,100,0.2,40
7.247578372739822,7,100,0.3,40
2.835656486890804,7,50,0.1,50
11.776733026855988,7,50,0.2,50
13.8083687467026,7,50,0.3,50
1.0804374874125535,7,75,0.1,50
10.92339924351824,7,75,0.2,50
3.055142882363022,7,75,0.3,50
5.841303878372419,7,100,0.1,50
4.154292772959614,7,100,0.2,50
16.848138302036563,7,100,0.3,50
12.78181557496962,9,50,0.1,10
4.701195558768562,9,50,0.2,10
12.520449709147535,9,50,0.3,10
3.4708365755063957,9,75,0.1,10
11.314081412089319,9,75,0.2,10
9.852370209732282,9,75,0.3,10
12.221553811086254,9,100,0.1,10
12.160843823792034,9,100,0.2,10
10.65645757326823,9,100,0.3,10
6.80570585039297,9,50,0.1,20
12.67045876901378,9,50,0.2,20
10.365425630020587,9,50,0.3,20
7.166544674650748,9,75,0.1,20
14.123875499494966,9,75,0.2,20
7.737118884599376,9,75,0.3,20
16.54528072295973,9,100,0.1,20
13.845563835402674,9,100,0.2,20
10.988568673707327,9,100,0.3,20
4.262325268145061,9,50,0.1,30
12.226099038848387,9,50,0.2,30
4.62260338936219,9,50,0.3,30
10.875548730981672,9,75,0.1,30
14.389217556294234,9,75,0.2,30
16.81515003119506,9,75,0.3,30
14.095316762161765,9,100,0.1,30
