date,Coffee beans,Espresso machine,French press,Coffee mugs,Coffee grinder,Flavored syrups,Latte art,Cold brew kit,Tea leaves,Travel mugs,Coffee filters_x,Espresso cups,Pour-over set,Cappuccino maker,Coffee scoops,To-go cups,Organic coffee,Coffee subscription,Milk frother,Latte cups,Espresso tamper,Single origin coffee,Coffee thermos,Reusable cups,Herbal teas,Cold brew bottles,Green tea,Hot chocolate mix,Chai latte mix,Biscotti,Coffee creamers,Decaf coffee,Espresso powder,Honey sticks,Coffee gifts,Matcha,Pour-over coffee,Coffee tumblers,Coffee stickers,Coffee-themed shirts,Coffee stirrers,Seasonal flavors,Gourmet coffee,Espresso shots,Coffee stencils,Coffee bean bags,Coffee pods,Tisanes,Loose leaf tea,Coffee filters_y,Frothing pitchers,Coffee art supplies,Tea infusers,Coffee flavorings,Coffee sugar,Whipped cream dispensers,Espresso sets,Coffee recipe books,Latte powder,Reusable straws,Compostable cups,Specialty teas,Coffee-themed posters,Travel coffee kits,Coffee carafes,Vintage coffee tins,Green coffee,Coffee grinders,Vanilla syrup,Roasted beans,Coffee canisters,Nitro coffee,Tea strainers,Decaf espresso,Coffee keychains,Chai spices,Iced coffee maker,Coconut milk powder,Espresso machines,Espresso glasses,Local roasts,Oat milk,Chocolate sprinkles,Pumpkin spice mix,Mug warmers,Portable brewers,Vanilla flavoring,Coffee timers,Tea cozies,Coffee table books,Coffee servers,Creamer containers,Raw honey,Latte mix
2020-05-17,0.5816326530612245,0.78125,0.7446808510638298,0.38202247191011235,0.56,0.12,0.5786181818181818,0.0,0.23,0.05,0.2,0.06,0.0,0.04,0.4472,0.0,0.12,0.07,0.19,0.2808,0.11232,0.114816,0.05,0.15,0.6580363636363635,0.0,2.6774193548387095,0.04,0.06980338983050846,0.38461538461538464,0.26208,0.29,0.08,0.04,0.09,2.142857142857143,0.0,0.11723636363636364,0.12763636363636363,0.0,0.09984,0.1152,0.43679999999999997,0.05,0.0,0.0,0.22,0.0,0.11,0.2,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.4612173913043478,0.04,0.06511304347826087,0.0,0.0,0.0,0.061152,0.0,0.35,0.53248,0.15,0.13,0.15451428571428572,0.624,0.0,0.27299999999999996,0.0,0.0,0.07,0.4694857142857143,0.06,0.0713142857142857,0.0,0.5822784810126582,0.5672727272727273,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.2,0.2273142857142857
2020-05-24,0.5510204081632653,0.6875,0.6808510638297872,0.39325842696629215,0.52,0.1176,0.44247272727272724,0.06038709677419355,0.24,0.05,0.17,0.06,0.0,0.04,0.52,0.0,0.11,0.05,0.17,0.2652,0.09359999999999999,0.104832,0.04,0.11,0.5105454545454545,0.0,2.774193548387097,0.03,0.06980338983050846,0.3626373626373626,0.28703999999999996,0.28,0.07,0.03,0.08,2.107142857142857,0.06399999999999999,0.13614545454545454,0.1248,0.0,0.09984,0.1296,0.48672,0.05,0.063648,0.0,0.2,0.0,0.11,0.17,0.0,0.0,0.0,0.0,0.37,0.0,0.09230000000000001,0.0,0.4286608695652174,0.03,0.07596521739130435,0.0,0.0,0.0,0.0,0.0,0.33,0.4908799999999999,0.14,0.13,0.11588571428571429,0.6864,0.0,0.2496,0.0,0.08126511627906977,0.07,0.36845714285714287,0.06,0.07577142857142856,0.0,0.5949367088607594,0.5105454545454545,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.17,0.21394285714285713
2020-05-31,0.5102040816326531,0.625,0.6276595744680851,0.3707865168539326,0.42,0.1296,0.39709090909090905,0.06038709677419355,0.2,0.05,0.14,0.05,0.0,0.04,0.4472,0.0,0.11,0.06,0.15,0.21059999999999998,0.156,0.05990399999999999,0.04,0.1,0.5218909090909091,0.0,2.5161290322580645,0.03,0.0,0.3516483516483517,0.2496,0.23,0.06,0.03,0.07,1.75,0.0,0.13614545454545454,0.13898181818181815,0.0,0.09984,0.1248,0.4992,0.05,0.0,0.0,0.19,0.0,0.09,0.14,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.33099130434782603,0.03,0.10038260869565217,0.0,0.0,0.0,0.0,0.0,0.3,0.416,0.13,0.1,0.13074285714285713,0.6115200000000001,0.0,0.2964,0.0,0.0899720930232558,0.06,0.34468571428571426,0.05,0.0,0.0,0.5316455696202531,0.4992,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.09359999999999999,0.0,0.17,0.156
2020-06-07,0.5510204081632653,0.6875,0.7021276595744681,0.43820224719101125,0.46,0.1368,0.4538181818181818,0.0,0.23,0.05,0.14,0.06,0.0,0.04,0.46799999999999997,0.0,0.12,0.06,0.16,0.28859999999999997,0.09984,0.11731199999999999,0.04,0.1,0.5332363636363636,0.0,2.6451612903225805,0.03,0.10153220338983052,0.3626373626373626,0.29951999999999995,0.27,0.05,0.04,0.11,1.7857142857142858,0.0,0.1399272727272727,0.0,0.0,0.08736,0.07680000000000001,0.5616,0.06,0.0,0.0,0.17,0.0,0.11,0.14,0.0,0.0,0.0,0.0,0.37,0.0,0.0676,0.0,0.3038608695652174,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.37439999999999996,0.14,0.1,0.15154285714285712,0.8111999999999999,0.0,0.2496,0.0,0.08126511627906977,0.07,0.3328,0.05,0.06685714285714285,0.0,0.6075949367088608,0.5105454545454545,0.01,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.18,0.2273142857142857
2020-06-14,0.5714285714285714,0.6875,0.7340425531914894,0.42696629213483145,0.47,0.12719999999999998,0.4992,0.0,0.23,0.05,0.14,0.06,0.0,0.05,0.364,0.0,0.12,0.08,0.17,0.3354,0.0,0.06739200000000001,0.04,0.1,0.5786181818181818,0.0,2.7096774193548385,0.03,0.059227118644067794,0.3516483516483517,0.29328,0.26,0.07,0.03,0.12,1.8214285714285714,0.0,0.13614545454545454,0.156,0.0,0.0832,0.0,0.5116799999999999,0.05,0.0,0.0,0.2,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.3472695652173913,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.44095999999999996,0.14,0.11,0.15451428571428572,0.79872,0.0,0.22619999999999998,0.0,0.1131906976744186,0.07,0.41005714285714284,0.06,0.08022857142857143,0.0,0.5949367088607594,0.5332363636363636,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.2,0.1649142857142857
2020-06-21,0.5714285714285714,0.71875,0.723404255319149,0.34831460674157305,0.47,0.108,0.4992,0.06038709677419355,0.21,0.04,0.16,0.06,0.0,0.04,0.5304,0.0,0.11,0.13,0.15,0.27299999999999996,0.11232,0.07487999999999999,0.04,0.07,0.5899636363636364,0.0,2.7419354838709675,0.03,0.10999322033898304,0.32967032967032966,0.23711999999999997,0.24,0.06,0.03,0.06,1.8571428571428572,0.0,0.09076363636363637,0.16734545454545452,0.0,0.104,0.144,0.4992,0.06,0.0,0.0,0.19,0.0,0.11,0.16,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.32556521739130434,0.03,0.0,0.0,0.0,0.0,0.06739200000000001,0.0,0.35,0.44095999999999996,0.13,0.12,0.14857142857142858,0.84864,0.0,0.27299999999999996,0.0,0.2147720930232558,0.07,0.37439999999999996,0.06,0.0,0.0,0.5822784810126582,0.5672727272727273,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.19,0.17828571428571427
2020-06-28,0.5306122448979592,0.6875,0.7340425531914894,0.3707865168539326,0.46,0.1224,0.4538181818181818,0.09259354838709677,0.2,0.04,0.14,0.07,0.0,0.04,0.5512,0.0,0.1,0.14,0.16,0.30419999999999997,0.08112,0.069888,0.03,0.08,0.46516363636363633,0.0,2.7096774193548385,0.03,0.08249491525423729,0.3516483516483517,0.29951999999999995,0.26,0.06,0.03,0.05,1.7857142857142858,0.08639999999999999,0.10589090909090909,0.1474909090909091,0.0,0.08736,0.11039999999999998,0.53664,0.06,0.0,0.0,0.2,0.0,0.1,0.14,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.37982608695652176,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.45759999999999995,0.14,0.11,0.21394285714285713,0.97344,0.0,0.30419999999999997,0.0,0.0,0.07,0.3862857142857143,0.05,0.0713142857142857,0.0,0.5822784810126582,0.5105454545454545,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.19,0.21394285714285713
2020-07-05,0.5204081632653061,0.71875,0.7127659574468085,0.3595505617977528,0.46,0.1176,0.4765090909090909,0.0,0.21,0.04,0.15,0.06,0.0,0.04,0.48879999999999996,0.0,0.11,0.09,0.14,0.23399999999999999,0.08112,0.10233599999999998,0.03,0.08,0.48785454545454543,0.0,2.6451612903225805,0.03,0.08461016949152542,0.31868131868131866,0.28703999999999996,0.25,0.06,0.04,0.06,1.7857142857142858,0.06399999999999999,0.07941818181818182,0.1333090909090909,0.0,0.104,0.1296,0.48672,0.05,0.0,0.0,0.22,0.06708,0.11,0.15,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.3689739130434782,0.04,0.07867826086956521,0.0,0.0,0.0,0.0,0.0,0.34,0.54912,0.12,0.11,0.18125714285714284,0.91104,0.0,0.312,0.0,0.07836279069767442,0.07,0.3625142857142857,0.06,0.10697142857142856,0.0,0.6075949367088608,0.40843636363636365,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.19,0.2273142857142857
2020-07-12,0.5612244897959183,0.6875,0.6808510638297872,0.3707865168539326,0.43,0.0696,0.4538181818181818,0.10467096774193549,0.24,0.04,0.16,0.06,0.0,0.04,0.45759999999999995,0.0,0.12,0.07,0.16,0.351,0.09984,0.094848,0.03,0.07,0.6466909090909091,0.0,2.7419354838709675,0.03,0.09730169491525424,0.34065934065934067,0.29951999999999995,0.27,0.07,0.04,0.06,1.9642857142857142,0.0,0.13236363636363635,0.1957090909090909,0.0,0.06656,0.12,0.47423999999999994,0.06,0.0,0.0,0.21,0.0,0.12,0.16,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.3689739130434782,0.03,0.10852173913043478,0.0,0.0,0.0,0.0,0.0,0.32,0.39936,0.13,0.13,0.1248,0.9484799999999999,0.0,0.25739999999999996,0.0,0.1015813953488372,0.07,0.3862857142857143,0.05,0.0,0.0,0.6835443037974683,0.4765090909090909,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.2,0.2540571428571428
2020-07-19,0.5612244897959183,0.65625,0.7127659574468085,0.3595505617977528,0.48,0.1056,0.4538181818181818,0.09259354838709677,0.21,0.04,0.16,0.06,0.0,0.04,0.4784,0.0,0.11,0.06,0.16,0.30419999999999997,0.10608,0.08985599999999999,0.03,0.08,0.5445818181818182,0.0,2.6451612903225805,0.03,0.0,0.3516483516483517,0.31823999999999997,0.27,0.06,0.04,0.05,1.9642857142857142,0.0,0.15505454545454544,0.18719999999999998,0.0,0.08736,0.1056,0.5740799999999999,0.05,0.0,0.0,0.2,0.0,0.11,0.16,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.33099130434782603,0.04,0.12751304347826087,0.0,0.0,0.0,0.0,0.0,0.32,0.50752,0.13,0.12,0.15451428571428572,0.8860799999999999,0.0,0.20279999999999998,0.0,0.1015813953488372,0.08,0.2733714285714286,0.06,0.0,0.0,0.759493670886076,0.4992,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.19,0.16045714285714285
2020-07-26,0.5510204081632653,0.6875,0.6914893617021277,0.3707865168539326,0.47,0.09359999999999999,0.5218909090909091,0.0,0.2,0.04,0.14,0.05,0.0,0.04,0.4784,0.0,0.12,0.07,0.15,0.2418,0.08736,0.09235199999999999,0.04,0.09,0.5672727272727273,0.0,2.774193548387097,0.03,0.08672542372881356,0.34065934065934067,0.26832,0.28,0.05,0.04,0.05,1.9285714285714286,0.0,0.1248,0.13898181818181815,0.0,0.0832,0.1488,0.54912,0.06,0.0,0.0,0.22,0.0,0.11,0.14,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.37439999999999996,0.04,0.0976695652173913,0.0,0.0,0.0,0.0,0.0,0.33,0.4908799999999999,0.13,0.13,0.0,0.8111999999999999,0.0,0.2964,0.0,0.0,0.07,0.34468571428571426,0.05,0.06685714285714285,0.0,0.6455696202531646,0.4992,0.01,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.19,0.25851428571428575
2020-08-02,0.5408163265306123,0.71875,0.7978723404255319,0.39325842696629215,0.47,0.1608,0.4538181818181818,0.0,0.19,0.04,0.14,0.06,0.0,0.05,0.5512,0.0,0.12,0.07,0.18,0.40559999999999996,0.10608,0.08985599999999999,0.04,0.07,0.5559272727272726,0.0,2.7419354838709675,0.03,0.10576271186440676,0.3516483516483517,0.26208,0.29,0.05,0.04,0.07,1.8571428571428572,0.0,0.09832727272727272,0.2524363636363636,0.0,0.1248,0.1344,0.4992,0.06,0.0,0.082368,0.21,0.0,0.11,0.14,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.4069565217391304,0.03,0.08681739130434782,0.0,0.0,0.0,0.0,0.0,0.33,0.40768,0.13,0.13,0.17234285714285713,0.7862399999999999,0.0,0.2496,0.0,0.1131906976744186,0.07,0.3625142857142857,0.06,0.08022857142857143,0.0,0.6962025316455697,0.44247272727272724,0.01,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.19,0.2674285714285714
2020-08-09,0.5408163265306123,0.75,0.723404255319149,0.3707865168539326,0.47,0.08159999999999999,0.4538181818181818,0.08051612903225806,0.19,0.04,0.15,0.06,0.0,0.05,0.5512,0.0,0.11,0.05,0.16,0.3198,0.13104,0.09235199999999999,0.04,0.07,0.5559272727272726,0.0,2.5161290322580645,0.02,0.09941694915254237,0.32967032967032966,0.29328,0.3,0.06,0.04,0.05,1.75,0.0,0.07563636363636364,0.18152727272727273,0.0,0.09568,0.1344,0.4992,0.05,0.0,0.0,0.22,0.0,0.1,0.15,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.25502608695652174,0.02,0.10309565217391303,0.0,0.0,0.0,0.0,0.0,0.31,0.36607999999999996,0.12,0.12,0.11885714285714284,0.8111999999999999,0.0,0.2652,0.0,0.09867906976744185,0.07,0.3922285714285714,0.06,0.0,0.0,0.6329113924050633,0.32901818181818177,0.01,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.2,0.1961142857142857
2020-08-16,0.5306122448979592,0.75,0.7021276595744681,0.3707865168539326,0.46,0.17519999999999997,0.5786181818181818,0.06843870967741934,0.18,0.05,0.13,0.06,0.0,0.05,0.5095999999999999,0.0,0.11,0.05,0.16,0.429,0.0624,0.069888,0.04,0.06,0.4992,0.0,2.4516129032258065,0.03,0.09307118644067797,0.2967032967032967,0.22464,0.29,0.05,0.04,0.05,1.7142857142857142,0.0,0.13614545454545454,0.11345454545454545,0.0,0.11232,0.15360000000000001,0.54912,0.05,0.0,0.0,0.19,0.0,0.11,0.13,0.0,0.0,0.08146666666666666,0.0,0.36,0.0,0.0767,0.0,0.37439999999999996,0.04,0.10038260869565217,0.0,0.0,0.0,0.0,0.0,0.32,0.4992,0.12,0.12,0.17234285714285713,0.83616,0.0,0.2652,0.0,0.07255813953488373,0.07,0.3387428571428571,0.06,0.06685714285714285,0.0,0.7974683544303798,0.4538181818181818,0.02,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.18,0.1961142857142857
