date,Wall art,Throw pillows,Candles,Picture frames,Vases,Area rugs,Table lamps,Clocks,Curtains,Mirrors,Wall shelves,Decorative trays_x,Throw blankets_x,Wall clocks,Bedding sets_x,Candle holders,Floor lamps,Planters,Coffee table books,Storage baskets,Room divider,Diffusers,Curtain rods,Decorative bowls,Bathroom accessories,Table runners,Artificial plants,Couch covers,Sofa pillows,Wall decals,Accent chairs,Coasters,Wall hooks,Duvet covers,Table mats,Window treatments,Jewelry box,Door mats,Decorative lanterns,Tapestries,Magazine racks,Dining sets,Wall sconces,Table covers,Throw blankets_y,Pillow covers,Ceramic decor,Decorative mirrors,Candle jars,Poufs,Woven baskets,Shower curtains,Faux plants,Jewelry organizers,Towel racks,Entryway mirrors,Bar stools,Bedding sets_y,Floating shelves,Floor cushions,Window blinds,Planter stands,Desk organizers,Room sprays,Bedside lamps,Side tables,Tealight holders,Artificial flowers,Storage benches,Decorative books,Faux fur throws,Plant stands,Bed throws,Storage boxes,Vintage clocks,Wall hangings,Chalkboards,Decorative trays_y,Entryway benches,Quilt sets,Flower vases,Ottoman trays,Decorative pillows,Wall organizers_x,Coat racks,Dining table decor,Sofa throws,Art prints,Wall signs,Curtain tiebacks,Wall panels,Shelf decor,Wall tapestries,Decorative storage,Bedside tables,Woven decor,Bedroom decor,Shelf baskets,Closet organizers,Decorative trays,Wall organizers_y,Planter pots
2023-12-10,1.8,0.34,26.24506592760562,1.0238095238095237,0.43617021276595747,0.6352941176470588,0.25,0.8666666666666667,3.2,2.1,0.35,0.14227199999999998,0.19,0.12,0.19,0.3,0.26,0.71875,0.13,0.08,0.2,0.18,0.27,0.2311111111111111,0.13,0.08,0.09,0.28,0.77376,0.11,0.19,0.9066666666666666,0.19,0.24,0.6864,0.14,0.78,0.13,0.10509473684210525,0.06,0.0,0.22,0.14,0.12,0.19,0.24,0.4437333333333333,0.23573333333333332,0.07,0.35775999999999997,0.37439999999999996,0.22,0.03,0.0,0.37439999999999996,0.0,0.75,0.19,0.4,0.3817411764705882,0.35,0.0,0.19136,0.11039999999999998,0.624,0.16,0.09568,0.09,0.22464,0.22464,0.12826666666666664,0.07,0.11619310344827585,0.21,0.18719999999999998,0.04,0.15922758620689656,0.14227199999999998,0.0,0.04,0.03,0.0,0.08,0.0,0.32556521739130434,0.4992,0.11232,0.35,0.07,0.073216,0.46,0.07,0.07083243243243242,0.52,0.5472,0.08042666666666667,0.2,0.15808,0.03,0.14227199999999998,0.0,0.05
2023-12-17,1.5714285714285714,0.32,19.683799445704214,1.0357142857142858,0.4148936170212766,0.5764705882352941,0.24,0.8666666666666667,2.8,1.9666666666666666,0.33,0.17971199999999998,0.16,0.11,0.17,0.25,0.23,0.75,0.11,0.08,0.23,0.19,0.25,0.2496,0.12,0.06,0.08,0.29,0.67392,0.1,0.17,0.8933333333333333,0.16,0.25,0.5348571428571428,0.12,0.9,0.12,0.08210526315789474,0.05,0.09307118644067797,0.23,0.12,0.1,0.16,0.21,0.40213333333333334,0.18719999999999998,0.06,0.34944,0.26428235294117647,0.2,0.03,0.0,0.34603636363636364,0.0,0.7083333333333334,0.17,0.42,0.2569411764705882,0.34,0.0,0.22464,0.09839999999999999,0.6344,0.15,0.10608,0.07,0.22464,0.14143999999999998,0.0,0.06,0.1506206896551724,0.22,0.19287272727272725,0.03,0.1334068965517241,0.17971199999999998,0.0,0.03,0.04,0.0,0.08,0.0858,0.25502608695652174,0.40559999999999996,0.07071999999999999,0.33,0.07,0.0,0.46,0.06,0.0,0.48879999999999996,0.6144000000000001,0.08874666666666667,0.21,0.25376,0.03,0.17971199999999998,0.0858,0.05
2023-12-24,1.9714285714285715,0.36,17.059292852943653,0.8452380952380952,0.425531914893617,0.6941176470588235,0.25,0.8,3.533333333333333,2.033333333333333,0.48,0.14476799999999998,0.1,0.1,0.19,0.26,0.29,0.75,0.07,0.13,0.24,0.19,0.32,0.18026666666666666,0.14,0.08,0.09,0.32,0.7238399999999999,0.11,0.23,0.8666666666666667,0.2,0.29,0.5170285714285715,0.14,0.76,0.11,0.07553684210526315,0.06,0.0,0.23,0.15,0.09,0.1,0.26,0.47146666666666665,0.21493333333333334,0.06,0.39104,0.3156705882352941,0.23,0.04,0.08367272727272726,0.3403636363636363,0.101088,0.8055555555555556,0.19,0.6,0.3523764705882353,0.38,0.0,0.25376,0.1224,0.7903999999999999,0.18,0.11023999999999999,0.1,0.29328,0.22047999999999998,0.0,0.08,0.1334068965517241,0.33,0.11345454545454545,0.03,0.11619310344827585,0.14476799999999998,0.08379428571428571,0.04,0.03,0.10268354430379747,0.08,0.11699999999999999,0.2713043478260869,0.6344,0.12271999999999998,0.34,0.06,0.0,0.54,0.09,0.1382918918918919,0.676,0.6144000000000001,0.07765333333333332,0.24,0.2912,0.04,0.14476799999999998,0.11699999999999999,0.05
2023-12-31,2.1714285714285713,0.43,15.74703955656337,0.7857142857142857,0.5212765957446809,0.6823529411764706,0.36,0.8,3.8,2.2666666666666666,0.48,0.10732799999999999,0.09,0.12,0.19,0.31,0.34,0.75,0.07,0.14,0.29,0.18,0.34,0.28657777777777776,0.13,0.09,0.13,0.34,0.7862399999999999,0.14,0.27,0.8533333333333334,0.22,0.25,0.6507428571428572,0.17,0.51,0.13,0.07553684210526315,0.05,0.0,0.25,0.19,0.1,0.09,0.33,0.5408,0.2634666666666667,0.07,0.3328,0.5285647058823529,0.25,0.06,0.12905454545454545,0.46516363636363633,0.0,0.8055555555555556,0.19,0.62,0.34503529411764705,0.39,0.09359999999999999,0.2496,0.1224,0.7903999999999999,0.19,0.0,0.12,0.2808,0.26624,0.07106666666666667,0.08,0.11619310344827585,0.35,0.2127272727272727,0.04,0.14631724137931032,0.10732799999999999,0.0,0.04,0.04,0.0,0.1,0.0897,0.2821565217391304,0.832,0.09568,0.37,0.07,0.073216,0.6,0.11,0.0,0.8215999999999999,0.6047999999999999,0.14143999999999998,0.24,0.24543999999999996,0.04,0.10732799999999999,0.0897,0.06
2024-01-07,1.8857142857142857,0.43,13.12253296380281,0.6785714285714286,0.5851063829787234,0.7058823529411765,0.33,0.8,3.8,2.066666666666667,0.43,0.09984,0.1,0.11,0.17,0.29,0.31,0.875,0.07,0.12,0.28,0.16,0.32,0.30968888888888885,0.14,0.1,0.11,0.3,0.92352,0.13,0.23,0.6666666666666666,0.2,0.26,0.6418285714285714,0.16,0.45,0.13,0.10181052631578946,0.07,0.0,0.23,0.19,0.1,0.1,0.3,0.624,0.21493333333333334,0.07,0.39936,0.37439999999999996,0.26,0.06,0.078,0.3176727272727273,0.0,0.75,0.17,0.57,0.469835294117647,0.38,0.0,0.19552,0.10319999999999999,0.6448,0.19,0.10192,0.14,0.24336,0.23296,0.0,0.09,0.12910344827586206,0.3,0.17018181818181816,0.04,0.1506206896551724,0.09984,0.13014857142857142,0.03,0.05,0.08530632911392405,0.1,0.09945,0.28758260869565216,0.6656,0.07696,0.36,0.07,0.0,0.58,0.11,0.0,0.6344,0.768,0.18026666666666666,0.27,0.27871999999999997,0.05,0.09984,0.09945,0.06
2024-01-14,2.057142857142857,0.41,11.810279667422527,0.7023809523809523,0.5851063829787234,0.7058823529411765,0.32,0.8,4.066666666666666,2.7666666666666666,0.43,0.16224,0.1,0.11,0.17,0.27,0.3,0.78125,0.06,0.12,0.28,0.16,0.34,0.2773333333333333,0.14,0.1,0.11,0.3,0.86112,0.13,0.23,0.6666666666666666,0.2,0.23,0.5081142857142856,0.18,0.44,0.11,0.09524210526315789,0.06,0.0,0.24,0.18,0.11,0.1,0.27,0.6309333333333332,0.2496,0.06,0.3328,0.46249411764705883,0.24,0.05,0.0,0.36305454545454546,0.0,0.7777777777777778,0.17,0.55,0.469835294117647,0.4,0.0,0.23296,0.1176,0.8215999999999999,0.18,0.08943999999999999,0.16,0.22464,0.23711999999999997,0.0,0.07,0.12049655172413794,0.25,0.19854545454545452,0.04,0.08606896551724139,0.16224,0.08914285714285713,0.04,0.05,0.06476962025316456,0.1,0.13845,0.22246956521739128,0.6032,0.13312,0.37,0.08,0.069888,0.59,0.09,0.07757837837837837,0.6032,0.7104,0.10538666666666666,0.27,0.25376,0.05,0.16224,0.13845,0.06
2024-01-21,1.9428571428571428,0.37,13.12253296380281,0.7023809523809523,0.5638297872340425,0.7294117647058823,0.32,0.8666666666666667,3.6666666666666665,2.966666666666667,0.42,0.114816,0.08,0.11,0.15,0.28,0.31,1.03125,0.08,0.12,0.27,0.16,0.29,0.24035555555555554,0.15,0.09,0.12,0.3,0.86112,0.14,0.22,0.68,0.19,0.23,0.6150857142857142,0.16,0.41,0.12,0.0919578947368421,0.06,0.11633898305084744,0.27,0.18,0.11,0.08,0.23,0.5546666666666666,0.2634666666666667,0.06,0.34944,0.41110588235294115,0.26,0.05,0.07374545454545454,0.38007272727272723,0.0,0.8194444444444444,0.15,0.53,0.34503529411764705,0.38,0.0,0.19968,0.11039999999999998,0.7176,0.2,0.10192,0.13,0.27456,0.28287999999999996,0.0,0.07,0.12910344827586206,0.26,0.21839999999999998,0.04,0.1506206896551724,0.114816,0.08736,0.03,0.05,0.06792911392405063,0.09,0.10725,0.27673043478260867,0.6344,0.12896000000000002,0.37,0.08,0.08819199999999999,0.59,0.09,0.0,0.6136,0.6911999999999999,0.16362666666666667,0.27,0.22464,0.04,0.114816,0.10725,0.06
2024-01-28,1.9428571428571428,0.37,11.810279667422527,0.6666666666666666,0.574468085106383,0.6823529411764706,0.31,0.9333333333333333,3.466666666666667,2.1666666666666665,0.4,0.10732799999999999,0.07,0.1,0.14,0.24,0.27,0.875,0.07,0.1,0.25,0.15,0.3,0.22648888888888888,0.13,0.09,0.12,0.29,0.7862399999999999,0.12,0.23,0.6933333333333334,0.18,0.21,0.46354285714285715,0.17,0.41,0.11,0.0919578947368421,0.06,0.0,0.28,0.17,0.12,0.07,0.22,0.5269333333333334,0.18719999999999998,0.05,0.39104,0.5065411764705882,0.24,0.05,0.09785454545454544,0.37439999999999996,0.06739200000000001,0.7916666666666666,0.14,0.5,0.3156705882352941,0.4,0.0,0.21631999999999998,0.09119999999999999,0.728,0.2,0.0,0.13,0.24336,0.19552,0.0,0.08,0.09467586206896551,0.23,0.16167272727272727,0.03,0.18074482758620689,0.10732799999999999,0.13906285714285715,0.03,0.05,0.0,0.09,0.10725,0.2496,0.48879999999999996,0.0,0.35,0.07,0.078208,0.58,0.08,0.0,0.5824,0.6432,0.1358933333333333,0.22,0.18303999999999998,0.04,0.10732799999999999,0.10725,0.07
2024-02-04,1.8571428571428572,0.33,10.498026371042247,0.7023809523809523,0.6063829787234043,0.6588235294117647,0.3,1.0,3.4,2.3,0.38,0.082368,0.07,0.09,0.14,0.22,0.23,0.96875,0.07,0.1,0.27,0.16,0.28,0.208,0.13,0.09,0.12,0.28,0.69888,0.12,0.22,0.6666666666666666,0.18,0.2,0.5705142857142856,0.16,0.44,0.11,0.07553684210526315,0.06,0.08249491525423729,0.24,0.18,0.11,0.07,0.24,0.6656,0.3189333333333333,0.06,0.34944,0.44047058823529406,0.24,0.05,0.0,0.46516363636363633,0.0,0.7777777777777778,0.14,0.45,0.3376941176470588,0.4,0.0,0.21216,0.0,0.624,0.18,0.09568,0.13,0.13728,0.17056,0.0,0.08,0.10758620689655171,0.23,0.17018181818181816,0.04,0.14201379310344828,0.082368,0.10340571428571428,0.03,0.06,0.06950886075949367,0.09,0.0897,0.20619130434782607,0.39519999999999994,0.0,0.35,0.07,0.0,0.56,0.08,0.09781621621621621,0.6136,0.6047999999999999,0.11093333333333333,0.22,0.16224,0.03,0.082368,0.0897,0.07
2024-02-11,1.7428571428571429,0.31,11.810279667422527,0.6904761904761905,0.6595744680851063,0.6352941176470588,0.29,0.9333333333333333,3.466666666666667,2.066666666666667,0.32,0.08486400000000001,0.07,0.08,0.14,0.21,0.24,0.90625,0.07,0.09,0.23,0.13,0.28,0.28657777777777776,0.12,0.08,0.12,0.27,0.79872,0.12,0.22,0.64,0.16,0.18,0.4992,0.14,0.42,0.1,0.07882105263157894,0.05,0.0,0.25,0.15,0.1,0.07,0.21,0.45066666666666666,0.22879999999999998,0.05,0.34944,0.4184470588235294,0.21,0.05,0.0,0.25527272727272726,0.0,0.7083333333333334,0.14,0.44,0.20555294117647058,0.39,0.07175999999999999,0.16224,0.1296,0.48879999999999996,0.17,0.10815999999999999,0.14,0.23088,0.27871999999999997,0.0,0.08,0.11619310344827585,0.22,0.14465454545454545,0.04,0.1334068965517241,0.08486400000000001,0.0713142857142857,0.03,0.08,0.0,0.09,0.078,0.23874782608695652,0.5304,0.0,0.31,0.06,0.1248,0.54,0.07,0.07757837837837837,0.5512,0.44159999999999994,0.0,0.2,0.15808,0.04,0.08486400000000001,0.078,0.08
2024-02-18,2.057142857142857,0.37,10.498026371042247,0.6547619047619048,0.5957446808510638,0.7294117647058823,0.31,1.0666666666666667,3.8,2.3666666666666667,0.39,0.1248,0.07,0.1,0.16,0.24,0.26,1.0,0.07,0.11,0.27,0.16,0.35,0.208,0.13,0.1,0.12,0.31,0.71136,0.14,0.24,0.7333333333333333,0.19,0.21,0.5972571428571428,0.17,0.39,0.1,0.0,0.06,0.08461016949152542,0.31,0.18,0.12,0.07,0.23,0.5685333333333333,0.2704,0.06,0.40768,0.36705882352941177,0.24,0.06,0.0,0.33469090909090904,0.0,0.875,0.16,0.5,0.33035294117647057,0.42,0.0,0.16224,0.156,0.7072,0.2,0.08943999999999999,0.13,0.28703999999999996,0.23296,0.0,0.09,0.10328275862068965,0.22,0.20705454545454546,0.03,0.10758620689655171,0.1248,0.0713142857142857,0.04,0.06,0.0,0.1,0.0702,0.2713043478260869,0.6032,0.08528,0.34,0.08,0.101504,0.62,0.08,0.14166486486486485,0.6032,0.6527999999999999,0.08874666666666667,0.24,0.23296,0.04,0.1248,0.0702,0.08
