date,Basketballs,Soccer balls,Tennis rackets,Running shoes,Treadmills,Dumbbells,Yoga mats,Baseball bats,Swim goggles,Hiking boots,Camping tents,Football helmets,Bicycles,Skateboards,Ski equipment,Snowboards,Golf clubs,Cricket bats,Boxing gloves,Fishing rods,Kayaks,Canoes,Paddles,Climbing gear,Water bottles,Gym bags,Sports watches,Exercise bikes,Rowing machines,Weight benches,Resistance bands,Pull-up bars,Ellipticals,Protein powder,Running gear,Swim caps,Soccer cleats,Basketball jerseys,Fitness trackers,Hiking backpacks,Sleeping bags,Camping stoves,Headlamps,Sports sunglasses,Knee pads,Elbow pads,Ski poles,Snowshoes,Life jackets,Tennis balls,Sports uniforms,Baseball gloves,Frisbees,Lacrosse sticks,Squash rackets,Volleyballs,Scuba gear,Archery bows,Sports towels,Ankle weights,Jump ropes,Workout clothes,Fitness mats
2020-05-17,0.09,0.08,0.07,4.363636363636363,0.46,2.6666666666666665,0.16,0.13,0.05,0.7922077922077922,0.27,0.08,2.108695652173913,1.337837837837838,0.01,0.08,1.875,0.156,0.35,0.63,2.176470588235294,0.25,0.45454545454545453,0.12,0.864406779661017,0.04,0.03,0.14,0.05,0.5952,0.875,0.0,0.054400000000000004,2.037037037037037,0.09,0.02,0.2361111111111111,0.1,0.04,0.69056,0.21,0.29452799999999996,0.07,0.5928,0.37,0.09,0.02,0.03,0.37,0.55,0.2496,0.12,0.5445818181818182,0.03,0.0,0.39104,0.08,0.05,0.0,0.18,1.03584,0.43,0.2819555555555555
2020-05-24,0.08,0.08,0.08,4.0,0.41,2.5416666666666665,0.15,0.14,0.08,0.8701298701298701,0.3,0.07,2.1739130434782608,1.3513513513513513,0.02,0.07,2.1875,0.1768,0.33,0.62,2.9411764705882355,0.29,0.46464646464646464,0.12,0.9322033898305084,0.03,0.03,0.13,0.05,0.6432,0.875,0.0,0.044800000000000006,2.1481481481481484,0.1,0.02,0.2777777777777778,0.08,0.04,0.65728,0.2,0.304512,0.06,0.6656,0.39,0.09,0.02,0.03,0.47,0.3,0.2758736842105263,0.13,0.6126545454545455,0.03,0.0,0.40768,0.08,0.05,0.11166315789473684,0.18,1.01088,0.45,0.24035555555555554
2020-05-31,0.08,0.08,0.07,3.772727272727273,0.36,2.0833333333333335,0.12,0.19,0.11,0.7662337662337663,0.26,0.06,1.9130434782608696,1.1891891891891893,0.02,0.07,2.0625,0.1768,0.3,0.55,2.4705882352941178,0.26,0.47474747474747475,0.1,1.3389830508474576,0.03,0.03,0.13,0.05,0.48,0.7321428571428571,0.0,0.0384,1.8518518518518519,0.08,0.04,0.3194444444444444,0.09,0.04,0.7487999999999999,0.2,0.329472,0.07,0.6448,0.37,0.09,0.01,0.03,0.45,0.24,0.2496,0.13,0.5105454545454545,0.03,0.0,0.27456,0.08,0.05,0.0,0.15,0.86112,0.37,0.25884444444444443
2020-06-07,0.08,0.08,0.08,3.6818181818181817,0.39,2.25,0.13,0.21,0.11,0.7662337662337663,0.33,0.09,1.934782608695652,1.2972972972972974,0.01,0.07,2.375,0.1456,0.36,0.66,2.8823529411764706,0.3,0.494949494949495,0.1,1.0677966101694916,0.04,0.03,0.13,0.05,0.5663999999999999,0.75,0.0,0.041600000000000005,2.2222222222222223,0.09,0.03,0.375,0.1,0.04,0.64064,0.2,0.379392,0.08,0.7591999999999999,0.41,0.09,0.01,0.03,0.49,0.24,0.2824421052631579,0.14,0.48785454545454543,0.03,0.0,0.36607999999999996,0.09,0.05,0.0919578947368421,0.17,0.92352,0.4,0.30044444444444446
2020-06-14,0.08,0.09,0.1,3.772727272727273,0.36,2.125,0.13,0.22,0.1,0.8441558441558441,0.33,0.13,1.934782608695652,1.3243243243243243,0.01,0.09,2.53125,0.1768,0.37,0.66,2.8529411764705883,0.34,0.494949494949495,0.12,1.0169491525423728,0.04,0.04,0.11,0.06,0.5568,0.6964285714285714,0.0,0.048,2.111111111111111,0.09,0.03,0.4305555555555556,0.1,0.04,0.6656,0.25,0.384384,0.08,0.8527999999999999,0.4,0.09,0.02,0.03,0.51,0.25,0.32842105263157895,0.16,0.6013090909090909,0.03,0.0,0.34944,0.1,0.05,0.10837894736842105,0.16,0.9609599999999999,0.39,0.3281777777777778
2020-06-21,0.09,0.08,0.1,3.909090909090909,0.37,2.1666666666666665,0.12,0.22,0.12,0.7922077922077922,0.35,0.11,1.7608695652173914,1.2972972972972974,0.02,0.09,2.53125,0.22879999999999998,0.36,0.63,2.7941176470588234,0.32,0.46464646464646464,0.12,0.9152542372881356,0.04,0.02,0.12,0.05,0.432,0.6964285714285714,0.0,0.054400000000000004,2.4444444444444446,0.09,0.05,0.4166666666666667,0.11,0.04,0.74048,0.21,0.389376,0.07,0.7176,0.38,0.09,0.02,0.03,0.53,0.22,0.22989473684210524,0.15,0.5332363636363636,0.03,0.0,0.34112,0.08,0.05,0.13136842105263158,0.16,0.8111999999999999,0.38,0.22648888888888888
2020-06-28,0.08,0.07,0.1,3.6363636363636362,0.42,2.375,0.12,0.22,0.13,0.8051948051948052,0.4,0.11,1.608695652173913,1.337837837837838,0.02,0.1,2.34375,0.19759999999999997,0.36,0.6,2.8823529411764706,0.34,0.494949494949495,0.11,0.9491525423728814,0.05,0.03,0.12,0.05,0.5184,0.8214285714285714,0.0,0.048,2.1481481481481484,0.1,0.04,0.4305555555555556,0.11,0.04,0.74048,0.25,0.35443199999999997,0.07,0.6344,0.36,0.09,0.02,0.03,0.57,0.21,0.2430315789473684,0.16,0.5218909090909091,0.02,0.0,0.30784,0.1,0.05,0.14122105263157894,0.17,0.9609599999999999,0.37,0.2126222222222222
2020-07-05,0.08,0.06,0.1,3.5454545454545454,0.43,2.4166666666666665,0.13,0.22,0.13,0.7532467532467533,0.34,0.17,1.565217391304348,1.3243243243243243,0.02,0.09,2.375,0.18719999999999998,0.37,0.55,2.764705882352941,0.32,0.46464646464646464,0.1,0.9830508474576272,0.04,0.03,0.14,0.05,0.5856,0.7857142857142857,0.0,0.054400000000000004,2.259259259259259,0.1,0.05,0.4305555555555556,0.11,0.04,0.7238399999999999,0.23,0.379392,0.06,0.6344,0.37,0.09,0.02,0.03,0.54,0.22,0.3021473684210526,0.15,0.5105454545454545,0.03,0.0,0.43263999999999997,0.1,0.06,0.1543578947368421,0.16,0.98592,0.41,0.21724444444444443
2020-07-12,0.07,0.08,0.11,3.4545454545454546,0.48,2.5833333333333335,0.13,0.24,0.12,0.8051948051948052,0.33,0.12,1.5434782608695652,1.2297297297297298,0.02,0.11,2.46875,0.21839999999999998,0.38,0.57,2.6470588235294117,0.32,0.494949494949495,0.1,1.0677966101694916,0.05,0.03,0.15,0.06,0.4896,0.75,0.0,0.0512,2.074074074074074,0.09,0.04,0.4444444444444444,0.1,0.04,0.61568,0.22,0.379392,0.09,0.7696,0.36,0.09,0.02,0.03,0.54,0.22,0.295578947368421,0.16,0.46516363636363633,0.02,0.0,0.35775999999999997,0.09,0.07,0.11166315789473684,0.18,0.9609599999999999,0.4,0.34204444444444443
2020-07-19,0.07,0.07,0.1,3.3636363636363638,0.46,2.3333333333333335,0.13,0.23,0.12,0.7532467532467533,0.33,0.12,1.4565217391304348,1.1891891891891893,0.02,0.11,2.375,0.2392,0.4,0.53,2.3529411764705883,0.32,0.46464646464646464,0.1,1.0,0.04,0.03,0.15,0.06,0.5184,0.8214285714285714,0.0,0.0512,2.185185185185185,0.08,0.04,0.4305555555555556,0.1,0.04,0.74048,0.21,0.47923199999999994,0.07,0.6448,0.36,0.08,0.02,0.04,0.51,0.22,0.32842105263157895,0.17,0.44247272727272724,0.03,0.0,0.34112,0.1,0.06,0.19705263157894737,0.17,0.97344,0.36,0.19413333333333332
2020-07-26,0.07,0.08,0.1,3.409090909090909,0.55,2.3333333333333335,0.14,0.25,0.12,0.8181818181818182,0.33,0.13,1.434782608695652,1.2162162162162162,0.02,0.11,2.34375,0.312,0.39,0.55,2.176470588235294,0.29,0.45454545454545453,0.1,1.11864406779661,0.04,0.03,0.14,0.06,0.528,0.7321428571428571,0.0,0.0672,2.074074074074074,0.09,0.03,0.4444444444444444,0.11,0.04,0.79872,0.23,0.489216,0.08,0.5616,0.37,0.09,0.01,0.04,0.51,0.21,0.32185263157894733,0.19,0.4197818181818182,0.04,0.0,0.2496,0.1,0.06,0.2101894736842105,0.16,0.91104,0.37,0.2311111111111111
2020-08-02,0.08,0.09,0.1,3.5454545454545454,0.54,2.2083333333333335,0.14,0.24,0.1,0.8961038961038961,0.33,0.18,1.3478260869565217,1.2297297297297298,0.02,0.11,2.46875,0.2496,0.38,0.47,1.8529411764705883,0.26,0.45454545454545453,0.11,1.11864406779661,0.04,0.03,0.14,0.05,0.37439999999999996,0.7142857142857143,0.0,0.0608,2.037037037037037,0.09,0.03,0.4861111111111111,0.11,0.04,0.832,0.22,0.43929599999999996,0.09,0.6968,0.38,0.08,0.02,0.05,0.44,0.2,0.3349894736842105,0.18,0.39709090909090905,0.03,0.0,0.28287999999999996,0.09,0.07,0.1248,0.16,0.7862399999999999,0.35,0.22186666666666666
2020-08-09,0.07,0.09,0.1,3.272727272727273,0.48,2.0,0.13,0.23,0.09,0.8701298701298701,0.29,0.15,1.326086956521739,1.0675675675675675,0.02,0.12,2.4375,0.21839999999999998,0.39,0.43,1.7647058823529411,0.23,0.47474747474747475,0.1,0.9830508474576272,0.04,0.03,0.13,0.06,0.384,0.6785714285714286,0.0,0.048,2.185185185185185,0.09,0.03,0.5277777777777778,0.09,0.04,0.79872,0.23,0.43929599999999996,0.08,0.6032,0.39,0.08,0.02,0.06,0.41,0.22,0.3875368421052631,0.17,0.4765090909090909,0.03,0.0,0.42432,0.1,0.07,0.14450526315789475,0.16,0.84864,0.32,0.25884444444444443
2020-08-16,0.07,0.08,0.09,3.1818181818181817,0.39,1.7916666666666667,0.13,0.25,0.08,0.7922077922077922,0.27,0.14,1.173913043478261,1.0,0.02,0.13,2.3125,0.18719999999999998,0.4,0.43,1.411764705882353,0.21,0.41414141414141414,0.1,1.0338983050847457,0.04,0.02,0.13,0.06,0.4224,0.6428571428571429,0.0,0.054400000000000004,1.8888888888888888,0.08,0.02,0.5277777777777778,0.09,0.04,0.7903999999999999,0.23,0.494208,0.07,0.4784,0.36,0.07,0.02,0.06,0.35,0.21,0.4992,0.17,0.4311272727272727,0.03,0.0,0.39936,0.09,0.08,0.0919578947368421,0.14,0.82368,0.31,0.1895111111111111
2020-08-23,0.09,0.08,0.09,2.909090909090909,0.38,1.75,0.13,0.2,0.06,0.7922077922077922,0.21,0.12,1.0869565217391304,0.9324324324324325,0.02,0.13,2.09375,0.208,0.39,0.4,1.2058823529411764,0.19,0.3838383838383838,0.1,1.0169491525423728,0.03,0.03,0.12,0.05,0.36479999999999996,0.5714285714285714,0.0,0.044800000000000006,1.8518518518518519,0.08,0.02,0.5277777777777778,0.11,0.04,0.7072,0.2,0.37439999999999996,0.08,0.416,0.33,0.07,0.02,0.06,0.29,0.19,0.295578947368421,0.15,0.4992,0.03,0.0,0.44928,0.07,0.07,0.08538947368421053,0.14,0.69888,0.3,0.24035555555555554
2020-08-30,0.08,0.1,0.12,3.1818181818181817,0.37,1.7083333333333333,0.11,0.23,0.06,0.8831168831168831,0.22,0.16,1.2173913043478262,1.0135135135135136,0.01,0.16,2.0,0.19759999999999997,0.35,0.37,1.0294117647058822,0.2,0.40404040404040403,0.1,0.9661016949152542,0.05,0.02,0.13,0.05,0.32639999999999997,0.5178571428571429,0.0,0.044800000000000006,1.8888888888888888,0.08,0.02,0.5555555555555556,0.09,0.04,0.7155199999999999,0.22,0.35942399999999997,0.08,0.3848,0.36,0.07,0.02,0.07,0.28,0.22,0.3875368421052631,0.15,0.48785454545454543,0.04,0.0,0.40768,0.07,0.08,0.11166315789473684,0.13,0.77376,0.34,0.27271111111111107
